case_ID, plaintiff_song, defendant_song, year, juridiction, label, access, melody, scope, protectable_material, context_override, notes, source
65,Stan,Mi Bebito Fiu Fiu,2022,,,,,,,,Sample used without permission, which led Silva to remove the song from streaming services after it went viral to avoid legal issues,[122]
66,Where Are You Now,Maxine's Interlude,2011,,,,,,,,Settled for an undisclosed amount,[69]
67,I Want to Thank You,Make It Happen,1992,,,,,,,,$500,000,[31]
68,Holly Wood Died,Lucid Dreams,2019,,,,,,,,Yellowcard dropped its lawsuit against Juice Wrld after his death. However, the band could still refile the lawsuit if it changed its mind.,[108]
69,Love Is a Wonderful Thing,Love Is a Wonderful Thing,1994,,,,,,,,Under the Ninth Circuit ruling, the Isleys were to be paid $4.2 million,[39]
70,Love in Vain,Love in Vain,2000,,,,,,,,Settled,[18][51]
71,Wiggle and Giggle All Night,Levitating,2022,,,,,,,,Not settled,[119]
72,Live Your Life,Levitating,2022,,,,,,,,Not settled,[118]
73,Llorando se fue,Lambada,1990,,,,,,,,Songwriting credit,[27]
74,Chorando Se Foi,Lambada,1990,,,,,,,,Songwriting credit,
75,Feuilles Mortes,La Maritza,1971,,,,,,,,The totality of the song royalties were confiscated and went to Joseph Kozma heirs,[10]
76,Pulsion,Kill You,2002,,,,,,,,Settled,[52]
77,Just Another Night,Just Another Night,1988,,,,,,,,Six-person jury decided in Jagger's favor in April 1988,[24]
78,It's a Man's World (But What Would He Do Without a Woman),It's a Man's Man's Man's World,1966,,,,,,,,Copyright of the song and a third of the royalties,[2]
79,Within You Without You,Indus,1996,,,,,,,,Songwriting credit,[42]
80,Under Pressure,Ice Ice Baby,1993,,,,,,,,Undisclosed amount and songwriting credit,[35]
81,Every Breath You Take,I'll Be Missing You,1997,,,,,,,,100% of the publishing royalties,[45]
82,(I'd Do) Anything for You,I'd Do Anything for Love,1993,,,,,,,,Undisclosed settlement,[34]
83,Around the World,I Got It from My Mama Remix,2007,,,,,,,,Denial of sample clearance, leading to the cancellation of the remix's official release,[58]
84,Don't You Want to Stay,I Do This,2016,,,,,,,,Litigated, Not settled,[85]
85,Hero,Hero,1996,,,,,,,,Case dismissed; Selletti ordered to pay fines.,[43][44]
86,Be Your Own Hero,Hero,1996,,,,,,,,Case dismissed,[43][44]
87,All Day and All of the Night,Hello, I Love You,1968,,,,,,,,Settled,[5][6]
88,Feel So High,Got 'til It's Gone,1998,,,,,,,,Settled out of court with an estimated amount of $2.6 million,[48]
89,Misery Business,Good 4 U,2021,,,,,,,,Songwriting credits,[116]
90,I Feel Love,Good (Don't Die),2024,,,,,,,,Donna Summer's estate and Kanye West settled with West being prohibited from using "Good (Don't Die)".,[126]
91,I Wanna Be Your Boyfriend,Girlfriend,2008,,,,,,,,Undisclosed settlement,[61]
92,I Want a New Drug,Ghostbusters,1984,,,,,,,,Settled non-disclosure agreement,[17]
93,Creep,Get Free,2019,,,,,,,,Undisclosed settlement,[107]
94,El Hueso de Mi Perra,Gatita,2022,,,,,,,,Not settled,[123]
95,Crescent City Blues,Folsom Prison Blues,1970s,,,,,,,,$75,000,[8][9][16]
96,When I Was Your Man,Flowers,2024,,,,,,,,Not settled,[127]
97,Father and Son,Fight Test,2003,,,,,,,,75% of the song royalties.,[53]
98,Pour toi,Feelings,1985,,,,,,,,$500,000,[18]
99,Al Yawm Ulliqa Alal Khashaba,Erotica,1993,,,,,,,,$2.5 million,[36]
100,Best of My Love,Emotions,1991,,,,,,,,Undisclosed amount,[31]
101,Kookaburra,Down Under,2010,,,,,,,,5% of royalties backdated to 2002,[67]
102,Acidjazzed Evening,Do It,2007,,,,,,,,Settled out of court for an undisclosed sum,[57]
103,Dazed and Confused,Dazed and Confused,2012,,,,,,,,Undisclosed settlement out of court,[70]
104,Joyful Noise,Dark Horse,2019,,,,,,,,$2.78 million and songwriting credits. However, in March 2020, a judge reversed the jury's $2.78 million award and decision.  (See Gray v. Perry.),[103][104]
105,Dancing with Strangers,Dancing with a Stranger,2022,,,,,,,,Case dismissed,[120]
106,Taj Mahal,Da Ya Think I'm Sexy?,1979,,,,,,,,Settled out of court, donated profits to UNICEF,[14]
107,Taj Mahal,Da Ya Think I'm Sexy?,2008,,,,,,,,Settled,[59]
108,Ice Drop,Culture,2020,,,,,,,,Undisclosed settlement,[112]
109,Speedy Gonzales,Crocodile Rock,1973,,,,,,,,Settled,[4]
110,The Air That I Breathe,Creep,1993,,,,,,,,Songwriting credits and royalties,[37]
111,You Can't Catch Me,Come Together,1969,,,,,,,,Settled out of court in 1973, with John Lennon agreeing to compensate by recording three of the publisher's songs for his next album,[7]
112,Eighties,Come as You Are,1991,,,,,,,,No lawsuit,[32][33]
113,Various Lennon–McCartney compositions (1963–1970),Cheese and Onions,1978,,,,,,,,Royalties and songwriting credits,[13]
114,Carry On,Carry On,2019,,,,,,,,Litigated; not settled,[105]
115,Right Before My Eyes,Can't Let Go,1992,,,,,,,,Settled for $1 million,[31]
116,I Want You,Bulles de savon,2025,,,,,,,,Not settled,
117,Pump It Up,Brutal,2021,,,,,,,,Costello never took any action against Rodrigo.,[117]
118,Bring It on Home,Bring It on Home,1972,,,,,,,,Songwriting credit,[11]
119,Got to Give It Up,Blurred Lines,2013,,,,,,,,$5.3 million and songwriting credits,[72]
120,The Last Time,Bitter Sweet Symphony,1999,,,,,,,,Songwriting credits and 100% of royalties; returned to the Verve in 2019,[49]
121,Frisky Vol. 1 to 30 (Tapes) (2000),Billionaire,2014,,,,,,,,Case dismissed,[74]
122,Scatman (Ski-Ba-Bop-Ba-Dop-Bop),Bailar Contigo,2024,,,,,,,,Not settled,[125]
123,Babe I'm Gonna Leave You,Babe I'm Gonna Leave You,1990,,,,,,,,Songwriting credit,[11]
124,Goin' Home,Anyone,2021,,,,,,,,Not settled,[115]
125,Constant Craving,Anybody Seen My Baby?,1997,,,,,,,,Songwriting credit,[4]
126,Lonely Night,Am I Ever Gonna See Your Face Again,1976,,,,,,,,Settled out of court for royalties,[12]
127,In the Mood,All You Need Is Love,1967,,,,,,,,Royalties,[4]
128,Unnamed,All Around the World or the Myth of Fingerprints,1986,,,,,,,,Undisclosed,[21]
129,Ask Any Girl,1-2-3,1965,,,,,,,,15% of the song's writing and publishing royalties,[1]
